id,name,category,state,lng,lat
d6c8917d-7302-4d11-b0fd-825c95b4a71e,"9",campground,CA,-118.4923654,33.441136
d746b56a-6248-48be-b03b-96b7bf3479cc,"15",campground,AZ,-111.427032,31.688936
d759aca1-f85c-478a-9608-567db89654fc,"63",campground,AZ,-111.443703,31.6117172
d8ecaafa-2799-4eb5-8eb0-1ea120495ad8,"67",campground,AZ,-111.4486835,31.59253
d9632c6a-eaab-4662-82d9-a9d759947652,"80",campground,CA,-116.5830854,32.9038414
dac76c0c-81b8-484a-b3e4-0f9d965da95a,"4",campground,CA,-116.580834,32.9062892
db1880ec-3c54-44e0-989e-6084bcd2f609,"91",campground,CA,-121.6491502,41.0189571
dc186cad-c526-4894-afc0-a9463aca90b9,"2",campground,CA,-116.1198819,33.9991345
dc22923d-9524-41b9-895c-38f2ac206ff7,"14",campground,CA,-116.5809402,32.9069094
dc34d94c-c724-4603-a0a2-be49d1f98580,"CP5",dispersed_camping,UT,-109.8524919,38.1097603
dc6faf52-1add-4f0b-a234-20246aed93c7,"9",campground,AZ,-111.4668815,31.7031662
e088c51d-fb84-43b9-95ec-c4cb7aa11dde,"401-004",dispersed_camping,WA,-117.048663723063,48.785139434949
e124313f-5f69-4462-bc66-f23fe857b23b,"36",campground,AZ,-111.4400197,31.6474701
e1914edf-bed6-4eb6-802b-5cd4b9cf5219,"58",campground,CA,-116.5849588,32.9042602
e1a4494e-0287-43bc-827e-5a33c219e5fe,"9",campground,CA,-118.4069149,33.3856753
e27bd212-62a4-4754-a39a-b2d5a2d4cc0a,"1",campground,CA,-118.5479441,33.4733822
e27fabc6-90a8-40c5-ab82-58b7a66900e1,"28",campground,AZ,-111.4394974,31.658902
e3935841-74a7-43fa-b636-e491ecebea40,"3",campground,AZ,-111.4111366,31.758882
e432c072-062c-4010-a9c3-e82d9572e131,"7Charge",ev_charging,CA,-121.9890974,38.240113
e693d840-9639-49db-8708-a41af9d7fb55,"LC3",dispersed_camping,UT,-109.7948259,38.1093537
e6f8eab2-488a-41f0-91db-735c6d12f94b,"26",campground,CA,-116.5851221,32.9061663
e801d4a7-68f8-4896-806a-2cbd90383ad9,"7-Eleven",grocery,CA,-117.2857046,33.9175368
e8d704f5-fc8b-4648-9868-a0a9d29e84db,"15",campground,CA,-118.4928174,33.4399486
e9a51fa2-3021-484a-a532-128df91d98fc,"A1",picnic_area,UT,-111.5022173,40.0216562
eb3963bc-3b04-4978-83f8-b842c4ffa02a,"56",campground,AZ,-111.3892222,31.6247548
eb8d6cba-bae4-42ad-ae2e-a40cd830319c,"27",campground,AZ,-111.4377299,31.6725674
eca5346d-c37e-4512-9c60-e01a9d5d47f9,"18",campground,AZ,-111.4353344,31.6862716
ed6b84c9-a17e-436d-8e05-c0a2a0a494d6,"17a",campground,CA,-118.4708628,33.3849738
ef3c330c-6c45-4b37-8e7a-31ff345aebec,"A4",picnic_area,UT,-111.5026411,40.0220768
ef44f866-6d26-4f76-9a1f-81c891b8006e,"10",campground,CA,-118.4066212,33.3859149
ef7b9e3c-10e6-4f01-8dc6-1488dd5a8a01,"3",campground,CA,-121.0099564,35.9783652
f0bcdff4-2309-4ca7-825d-5b4e4541127f,"EC2",dispersed_camping,UT,-109.8371808,38.1148205
f1182227-a2c7-46b4-85d9-6f7c123384fb,"43",campground,AZ,-111.4154474,31.6546843
f2f37d87-7118-4c50-a89e-6774fa03ae3c,"3",picnic_area,WA,-122.7798685,48.6433165
f844b917-b4bc-46b1-8b05-7d397cdad86c,"2",campground,AZ,-111.4070052,31.768714
f893da35-64a9-41a1-9965-3baea25d57d7,"67",campground,CA,-116.5837492,32.9030244
f8ab72bd-c30f-4811-95f2-214f81902cb5,"3",dispersed_camping,OR,-121.7736356,44.2309981
fb5ecfc2-d698-4650-a839-69085aa8d6fe,"SC3",dispersed_camping,UT,-109.7640202,38.0390713
fb6dacb7-ee4b-4f0a-bd8f-66ab8fa4cb31,"6",picnic_area,WA,-122.7794366,48.6433484
fcb87954-3087-4f56-9547-2c5936751b26,"47",campground,AZ,-111.413557,31.6277626
fd3692f3-3941-4c7a-9b90-31ae83b2ede6,"41",campground,AZ,-111.4407822,31.6406957
fd595c3e-4f45-4ddf-91f3-d149a46bdd6d,"8",campground,CA,-118.4065072,33.3856988
fd88f518-8111-43b2-b1cf-ebe894856173,"311C-004",dispersed_camping,WA,-117.088679574174,48.6380793708702
fe62f52d-0517-480c-a62c-14baf62f02a7,"C7",campground,OR,-122.347214,42.381349
ff9dbcf9-bc01-41eb-985a-7e6026e18026,"5",campground,CA,-121.0099649,35.9787965
